venue,hindex
3d research,10
4or,5
Acta Philosophica Fennica,1
Acta Photonica Sinica,1
Agricultural Economics-zemedelska Ekonomika,1
Asian Journal of Industrial Engineering,1
Avant: Journal of the Philosophical-Interdisciplinary Vanguard,1
Clothing & Textiles Research Journal,1
Computers in Education,6
Foundations and Trends in Robotics,6
INFOCOMP Journal of Computer Science,3
International Journal of Ad Hoc, Sensor & Ubiquitous Computing,1
International Journal of Customer Relationship Marketing and Management,2
International Journal of Dependable and Trustworthy Information Systems,2
International Journal of E-entrepreneurship and Innovation,2
International Journal of Geotechnical Earthquake Engineering,1
International Journal of Healthcare Delivery Reform Initiatives,1
International Journal of Information Systems for Crisis Response Management,2
International Journal of Managing Information Technology,2
International Journal of Natural Computing Research,5
International Journal of Service Science, Management, Engineering, and Technology,2
International Journal of Social Ecology and Sustainable Development,1
International Journal of Software and Informatics,1
International Journal of Vlsi Design & Communication Systems,1
International Journal of Web & Semantic Technology,1
International Journal on Advances in Information Sciences and Service Sciences,3
International Tinnitus Journal,1
Interpreter and Translator Trainer,2
Japanese Journal of Psychology,1
Journal of Marine Engineering and Technology,1
Journal of Speculative Philosophy,1
Journal of Trading,1
Measurement & Control,2
Military Operations Research,1
National Academy Science Letters-india,4
Northern European Journal of Language Technology,4
PeerJ,3
Presence: Teleoperators & Virtual Environments,7
Psychiatry MMC,1
Reliability and Maintainability Symposium,1
Rivista Italiana Di Telerilevamento,1
SORT,1
Srx Neuroscience,1
Synthesis Lectures on Computer Vision,5
Synthesis Lectures on Data Management,5
Synthesis Lectures on Data Mining and Knowledge Discovery,4
Synthesis Lectures on Distributed Computing Theory,1
Synthesis Lectures on Information Security, Privacy, and Trust,2
Synthesis Lectures on Power Electronics,1
Synthesis Lectures on Quantum Computing,1
The International Journal of Multimedia & Its Applications,3
The Journal of Object Technology,4
The Medical Roundtable,1
Urbani izziv,1
a most,1
a-most,1
aaa idea,1
aaai,28
aae,1
aaecc,3
aai,12
aaim,4
aamas,43
aaps j,1
ab,1
abdom imaging,1
abstr appl anal,11
ac,15
acad manage j,1
acad manage rev,1
acad med,1
acad psychiatry,1
acad radiol,4
academic journal of second military medical university,1
academy of management perspectives,1
acal,2
acc,9
accessnets,1
accid anal prevent,4
accident and emergency nursing,1
account bus res,1
account chem res,1
account financ,1
account forum,1
account horiz,1
account organ soc,2
account res j,1
account rev,1
accounting auditing accountability journal,1
accounting education,1
accounting management and information technologies,3
accs,3
accv,31
acg,5
achi,4
acii,11
aciids,8
acimed,1
acisp,3
acivs,11
acj,3
acl,35
acm communications in computer algebra,2
acm sigada ada letters,2
acm sigapl apl quote quad,2
acm sigarch computer architecture news,2
acm sigbed review,2
acm sigbio newsletter,2
acm sigcaph computers and the physically handicapped,1
acm sigchi bulletin,3
acm sigcpr computer personnel,2
acm sigcse bulletin,2
acm sigcue outlook,1
acm sigevolution,3
acm siggroup bulletin,1
acm sigice bulletin,1
acm siglash newsletter,1
acm sigmicro newsletter,1
acm sigmis database,4
acm signum newsletter,1
acm sigoa newsletter,1
acm sigplan lisp pointers,2
acm sigsam bulletin,2
acm sigsim simulation digest,1
acm sigsmall newsletter,1
acm sigsmall pc notes,1
acm sigsoc bulletin,1
acm sigsoft software engineering notes,5
acm sigweb newsletter,3
acml,11
acns,2
acoustical physics,2
acoustical science and technology,2
acoustics australia,1
acri,2
across lang cult,1
acs,1
acs appl mater interfaces,1
acs chem biol,1
acs nano,1
acs synthetic biology,1
acsac,4
acsd,1
acta,3
acta acust united acust,1
acta agronomica sinica,2
acta anaesthesiol scand,1
acta anaesthesiologica taiwanica,1
acta analytica international periodical for philosophy in the analytical tradition,1
acta appl math,4
acta arithmet,1
acta astronaut,4
acta automatica sinica,12
acta biochim biophys sinica,1
acta biochim pol,1
acta biomater,2
acta biotheor,3
acta botanica mexicana,1
acta crystallogr a,1
acta crystallogr f struct bio,1
acta crystallogr sect d,1
acta crystallographica section b,1
acta ecologica sinica,1
acta geod geophys hung,1
acta geogr slov,1
acta geotechnica,2
acta linguist hung,1
acta linguistica hafniensia,1
acta mater,1
acta math appl sin engl ser,3
acta math sci,2
acta mathematica sinica,5
acta mech,2
acta mech sinica,2
acta metallurgica et materialia,1
acta metallurgica sinica (english letters),1
acta meteorol sin,2
acta neurobiol exp,1
acta neurochir,1
acta neurologica belgica,1
acta neuropsychiatr,1
acta numerica,4
acta obstet gynecol scand,1
acta oceanol sin,1
acta odontol scand,1
